Country,Region,Economic grouping,FX Reserves,Total Reserves,Gold Reserves Tonnes,Gold Reserves Millions,Holdings 
China,East Asia,Upper middle income,3408369,3751138.07,2313.46,342769.07,9.14
United States of America,North America,High income,241283.12,1446361.69,8133.46,1205078.58,83.32
Japan,East Asia,High income,1249388.08,1374730.05,845.97,125341.96,9.12
India,South Asia,Lower middle income,574537,704997.54,880.52,130460.54,18.51
Italy,Western Europe,High income,90480.8,453752.42,2451.84,363271.62,80.06
Singapore,South East Asia,High income,414789.5,443511.01,193.85,28721.51,6.48
Brazil,Latin America  Caribbean,Upper middle income,336420.25,361970.23,172.44,25549.98,7.06
Poland,Central and Eastern Europe,High income,205287.49,291465.35,581.64,86177.86,29.57
Thailand,South East Asia,Upper middle income,245226.63,279973.59,234.52,34746.96,12.41
Mexico,Latin America  Caribbean,Upper middle income,250843.4,268644.44,120.14,17801.05,6.63
United Kingdom,Western Europe,High income,172910.25,218883.34,310.29,45973.09,21
Czech Republic,Central and Eastern Europe,High income,167724.83,179080.51,76.64,11355.68,6.34
Indonesia,South East Asia,Upper middle income,135374.18,148270.66,87.04,12896.49,8.7
Turkey,Central and Eastern Europe,Upper middle income,49220.23,128465.43,534.85,79245.2,61.69
Malaysia,South East Asia,Upper middle income,120220.22,126718,43.86,6497.77,5.13
Canada,North America,High income,124615.15,124615.15,0,0,0
Libya,Middle East  North Africa,Upper middle income,84779.87,106508.24,146.65,21728.37,20.4
Philippines,South East Asia,Lower middle income,86459.53,106240.54,133.51,19781.01,18.62
Romania,Central and Eastern Europe,High income,76867.57,92221.21,103.63,15353.64,16.65
Sweden,Western Europe,High income,56428.54,75055.49,125.72,18626.95,24.82
Australia,Australasia / Oceania,High income,58743.08,70577.32,79.87,11834.24,16.77
Uzbekistan,Central Asia,Lower middle income,8140.21,69707.77,415.54,61567.56,88.32
Kazakhstan,Central Asia,Upper middle income,15426.53,67816.17,353.59,52389.64,77.25
Hungary,Central and Eastern Europe,High income,51183.83,67483.56,110.01,16299.73,24.15
Qatar,Middle East  North Africa,High income,39028.54,56101.83,115.23,17073.29,30.43
Ukraine,Central and Eastern Europe,Upper middle income,47987.35,52042.7,27.37,4055.35,7.79
Egypt,Middle East  North Africa,Lower middle income,31002.9,50191.15,129.51,19188.25,38.23
Argentina,Latin America  Caribbean,Upper middle income,32687.25,41834.65,61.74,9147.4,21.87
Guatemala,Latin America  Caribbean,Upper middle income,30818.13,33115.86,15.51,2297.72,6.94
Serbia,Central and Eastern Europe,Upper middle income,21545.08,29517.53,53.81,7972.45,27.01
Pakistan,South Asia,Lower middle income,17688.73,27290.19,64.8,9601.45,35.18
Costa Rica,Latin America  Caribbean,High income,19234.2,19234.2,0,0,0
Belarus,Central and Eastern Europe,Upper middle income,5838.8,11531.02,53.86,5692.22,49.36
Mauritius,Sub-Saharan Africa,High income,7982.03,9821.68,12.42,1839.65,18.73
Bulgaria,Central and Eastern Europe,High income,3088.37,9169.09,41.04,6080.72,66.32
Kyrgyzstan,Central Asia,Lower middle income,1653.41,8737.24,47.81,7083.83,81.08
Iceland,Western Europe,High income,7270.89,7564.9,1.98,294.01,3.89
North Macedonia,Central and Eastern Europe,Upper middle income,5019.1,6040.47,6.89,1021.36,16.91
Armenia,Central and Eastern Europe,Upper middle income,5542.31,5542.31,0,0,0
El Salvador,Latin America  Caribbean,Lower middle income,4671.54,4982.15,2.1,310.62,6.23
Suriname,Latin America  Caribbean,Upper middle income,1665.23,1845.08,1.21,179.85,9.75
Estonia,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Tajikistan,Central Asia,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Malta,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Haiti,Latin America  Caribbean,Low income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Luxembourg,Western Europe,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Gabon,Sub-Saharan Africa,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Aruba,Latin America  Caribbean,High income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Fiji,Australasia / Oceania,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
Turkmenistan,Central Asia,Upper middle income,AWAITED,AWAITED,AWAITED,AWAITED,AWAITED
